Latitude (decimal degrees):	52.285
Longitude (decimal degrees):	7.533
Elevation (m):	43
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20150101:0011,0.0,0.0,1.59,2.83,0.0
20150101:0111,0.0,0.0,1.14,2.76,0.0
20150101:0211,0.0,0.0,0.69,2.83,0.0
20150101:0311,0.0,0.0,0.31,2.97,0.0
20150101:0411,0.0,0.0,-0.06,3.1,0.0
20150101:0511,0.0,0.0,-0.26,3.24,0.0
20150101:0611,0.0,0.0,-0.26,3.24,0.0
20150101:0711,0.0,0.0,0.19,3.59,0.0
20150101:0811,53.35,2.78,0.2,3.72,0.0
20150101:0911,88.36,8.56,0.73,3.72,0.0
20150101:1011,550.84,12.59,1.54,3.31,0.0
20150101:1111,280.02,14.55,2.2,4.9,0.0
20150101:1211,560.23,14.26,2.72,4.21,0.0
20150101:1311,404.55,11.74,2.92,3.59,0.0
20150101:1411,101.78,7.22,3.02,4.14,0.0
20150101:1511,0.0,0.0,2.84,4.21,0.0
20150101:1611,0.0,0.0,2.63,4.41,0.0
20150101:1711,0.0,0.0,2.7,4.62,0.0
20150101:1811,0.0,0.0,2.85,4.9,0.0
20150101:1911,0.0,0.0,2.95,5.38,0.0
20150101:2011,0.0,0.0,3.07,5.72,0.0
20150101:2111,0.0,0.0,3.19,6.07,0.0
20150101:2211,0.0,0.0,3.3,6.14,0.0
20150101:2311,0.0,0.0,3.53,6.21,0.0
20150102:0011,0.0,0.0,3.74,6.21,0.0
20150102:0111,0.0,0.0,3.69,6.41,0.0
20150102:0211,0.0,0.0,3.39,6.55,0.0
20150102:0311,0.0,0.0,3.98,6.69,0.0
20150102:0411,0.0,0.0,4.74,6.69,0.0
20150102:0511,0.0,0.0,4.78,6.69,0.0
20150102:0611,0.0,0.0,5.4,6.62,0.0
20150102:0711,0.0,0.0,6.05,6.62,0.0
20150102:0811,22.68,2.8,6.9,6.55,0.0
20150102:0911,99.03,8.6,7.78,6.0,0.0
20150102:1011,113.17,12.65,8.45,5.79,0.0
20150102:1111,605.86,14.63,7.92,5.86,0.0
20150102:1211,624.6,14.35,7.51,5.72,0.0
20150102:1311,112.81,11.85,7.53,5.93,0.0
20150102:1411,81.32,7.34,7.23,5.93,0.0
20150102:1511,0.0,0.0,6.46,5.72,0.0
20150102:1611,0.0,0.0,5.86,5.79,0.0
20150102:1711,0.0,0.0,5.42,5.72,0.0
20150102:1811,0.0,0.0,5.05,5.45,0.0
20150102:1911,0.0,0.0,5.16,5.38,0.0
20150102:2011,0.0,0.0,4.94,5.38,0.0
20150102:2111,0.0,0.0,4.83,5.45,0.0
20150102:2211,0.0,0.0,4.47,5.31,0.0
20150102:2311,0.0,0.0,4.39,5.24,0.0
20150103:0011,0.0,0.0,4.45,4.97,0.0
20150103:0111,0.0,0.0,4.21,4.48,0.0
20150103:0211,0.0,0.0,3.94,4.0,0.0
20150103:0311,0.0,0.0,3.5,3.79,0.0
20150103:0411,0.0,0.0,3.19,3.86,0.0
20150103:0511,0.0,0.0,3.07,4.14,0.0
20150103:0611,0.0,0.0,3.06,4.55,0.0
20150103:0711,0.0,0.0,3.37,4.69,0.0
20150103:0811,22.56,2.84,3.37,4.9,0.0
20150103:0911,56.82,8.65,3.65,5.31,0.0
20150103:1011,70.55,12.72,3.93,5.31,0.0
20150103:1111,80.48,14.72,3.85,4.83,0.0
20150103:1211,112.84,14.45,3.74,4.83,0.0
20150103:1311,56.55,11.96,3.49,4.0,0.0
20150103:1411,161.6,7.46,3.07,3.45,0.0
20150103:1511,0.0,0.0,2.62,3.17,0.0
20150103:1611,0.0,0.0,2.27,2.9,0.0
20150103:1711,0.0,0.0,2.08,2.97,0.0
20150103:1811,0.0,0.0,1.94,3.24,0.0
20150103:1911,0.0,0.0,1.68,3.38,0.0
20150103:2011,0.0,0.0,2.12,3.66,0.0
20150103:2111,0.0,0.0,2.95,3.79,0.0
20150103:2211,0.0,0.0,3.32,3.72,0.0
20150103:2311,0.0,0.0,3.27,4.07,0.0
20150104:0011,0.0,0.0,3.05,4.28,0.0
20150104:0111,0.0,0.0,2.84,4.21,0.0
20150104:0211,0.0,0.0,2.56,4.28,0.0
20150104:0311,0.0,0.0,2.65,4.21,0.0
20150104:0411,0.0,0.0,2.54,4.07,0.0
20150104:0511,0.0,0.0,2.39,3.93,0.0
20150104:0611,0.0,0.0,2.39,3.86,0.0
20150104:0711,0.0,0.0,2.6,4.0,0.0
20150104:0811,89.72,2.88,2.82,4.0,0.0
20150104:0911,382.38,8.71,3.26,4.07,0.0
20150104:1011,500.49,12.8,4.18,4.28,0.0
20150104:1111,334.8,14.81,4.98,3.59,0.0
20150104:1211,558.02,14.56,5.51,4.21,0.0
20150104:1311,422.54,12.09,5.57,4.41,0.0
20150104:1411,328.36,7.6,5.4,4.0,0.0
20150104:1511,0.0,0.0,4.94,3.38,0.0
20150104:1611,0.0,0.0,4.1,2.9,0.0
20150104:1711,0.0,0.0,3.32,2.62,0.0
20150104:1811,0.0,0.0,2.6,2.69,0.0
20150104:1911,0.0,0.0,2.08,2.55,0.0
20150104:2011,0.0,0.0,1.91,2.62,0.0
20150104:2111,0.0,0.0,1.73,2.62,0.0
20150104:2211,0.0,0.0,1.44,2.69,0.0
20150104:2311,0.0,0.0,1.45,2.69,0.0
20150105:0011,0.0,0.0,1.01,2.9,0.0
20150105:0111,0.0,0.0,0.64,3.1,0.0
20150105:0211,0.0,0.0,0.47,3.38,0.0
20150105:0311,0.0,0.0,0.2,3.52,0.0
20150105:0411,0.0,0.0,0.01,3.52,0.0
20150105:0511,0.0,0.0,0.02,3.38,0.0
20150105:0611,0.0,0.0,-0.1,3.24,0.0
20150105:0711,0.0,0.0,0.73,3.45,0.0
20150105:0811,10.2,2.93,0.8,3.31,0.0
20150105:0911,57.62,8.78,1.02,3.1,0.0
20150105:1011,66.76,12.88,1.48,3.03,0.0
20150105:1111,355.22,14.91,1.91,2.97,0.0
20150105:1211,528.2,14.68,2.44,3.1,0.0
20150105:1311,553.64,12.22,2.7,3.1,0.0
20150105:1411,325.32,7.73,2.77,2.34,0.0
20150105:1511,0.93,1.59,2.31,1.93,0.0
20150105:1611,0.0,0.0,1.78,1.79,0.0
20150105:1711,0.0,0.0,1.57,1.79,0.0
20150105:1811,0.0,0.0,1.51,1.79,0.0
20150105:1911,0.0,0.0,1.48,1.86,0.0
20150105:2011,0.0,0.0,1.68,1.66,0.0
20150105:2111,0.0,0.0,1.67,1.66,0.0
20150105:2211,0.0,0.0,1.66,1.72,0.0
20150105:2311,0.0,0.0,1.7,1.79,0.0
20150106:0011,0.0,0.0,1.59,1.79,0.0
20150106:0111,0.0,0.0,1.66,1.66,0.0
20150106:0211,0.0,0.0,1.63,1.59,0.0
20150106:0311,0.0,0.0,1.57,1.59,0.0
20150106:0411,0.0,0.0,1.51,1.59,0.0
20150106:0511,0.0,0.0,1.44,1.66,0.0
20150106:0611,0.0,0.0,1.37,1.72,0.0
20150106:0711,0.0,0.0,2.27,1.86,0.0
20150106:0811,12.05,2.98,1.97,1.86,0.0
20150106:0911,89.07,8.85,2.24,2.0,0.0
20150106:1011,215.84,12.97,2.76,2.0,0.0
20150106:1111,326.85,15.02,3.38,2.0,0.0
20150106:1211,295.77,14.81,3.92,2.0,0.0
20150106:1311,153.48,12.35,4.17,2.07,0.0
20150106:1411,95.33,7.88,3.87,2.07,0.0
20150106:1511,5.56,1.73,3.25,2.28,0.0
20150106:1611,0.0,0.0,2.3,2.55,0.0
20150106:1711,0.0,0.0,1.82,2.9,0.0
20150106:1811,0.0,0.0,1.48,2.9,0.0
20150106:1911,0.0,0.0,1.49,3.1,0.0
20150106:2011,0.0,0.0,1.51,3.1,0.0
20150106:2111,0.0,0.0,1.67,3.1,0.0
20150106:2211,0.0,0.0,2.31,3.17,0.0
20150106:2311,0.0,0.0,2.79,3.24,0.0
20150107:0011,0.0,0.0,3.17,3.17,0.0
20150107:0111,0.0,0.0,3.83,2.97,0.0
20150107:0211,0.0,0.0,4.48,3.31,0.0
20150107:0311,0.0,0.0,4.91,3.72,0.0
20150107:0411,0.0,0.0,4.85,3.38,0.0
20150107:0511,0.0,0.0,4.42,2.76,0.0
20150107:0611,0.0,0.0,3.7,2.34,0.0
20150107:0711,0.0,0.0,2.53,2.48,0.0
20150107:0811,60.91,3.05,2.07,2.62,0.0
20150107:0911,325.64,8.93,2.53,2.69,0.0
20150107:1011,300.74,13.07,3.28,3.1,0.0
20150107:1111,288.93,15.14,3.71,3.66,0.0
20150107:1211,560.82,14.94,3.98,4.0,0.0
20150107:1311,507.77,12.5,4.06,3.79,0.0
20150107:1411,356.66,8.03,4.11,3.38,0.0
20150107:1511,7.42,1.89,3.78,3.1,0.0
20150107:1611,0.0,0.0,3.08,3.17,0.0
20150107:1711,0.0,0.0,2.74,3.38,0.0
20150107:1811,0.0,0.0,2.63,3.66,0.0
20150107:1911,0.0,0.0,2.86,4.07,0.0
20150107:2011,0.0,0.0,2.56,4.28,0.0
20150107:2111,0.0,0.0,2.33,4.48,0.0
20150107:2211,0.0,0.0,2.07,4.55,0.0
20150107:2311,0.0,0.0,2.03,4.76,0.0
20150108:0011,0.0,0.0,2.32,4.97,0.0
20150108:0111,0.0,0.0,2.66,5.03,0.0
20150108:0211,0.0,0.0,3.22,5.1,0.0
20150108:0311,0.0,0.0,3.8,5.24,0.0
20150108:0411,0.0,0.0,4.23,5.17,0.0
20150108:0511,0.0,0.0,4.44,5.1,0.0
20150108:0611,0.0,0.0,4.34,5.03,0.0
20150108:0711,0.0,0.0,4.71,4.83,0.0
20150108:0811,20.71,3.11,5.31,4.9,0.0
20150108:0911,93.04,9.01,5.82,5.03,0.0
20150108:1011,86.29,13.17,6.22,4.9,0.0
20150108:1111,68.61,15.26,6.52,4.76,0.0
20150108:1211,37.08,15.08,6.6,4.62,0.0
20150108:1311,35.23,12.65,6.84,4.9,0.0
20150108:1411,28.74,8.19,7.15,4.55,0.0
20150108:1511,6.49,2.05,7.27,4.28,0.0
20150108:1611,0.0,0.0,6.91,3.45,0.0
20150108:1711,0.0,0.0,6.13,4.14,0.0
20150108:1811,0.0,0.0,5.41,4.0,0.0
20150108:1911,0.0,0.0,5.55,4.34,0.0
20150108:2011,0.0,0.0,5.44,4.55,0.0
20150108:2111,0.0,0.0,4.99,4.62,0.0
20150108:2211,0.0,0.0,4.74,4.55,0.0
20150108:2311,0.0,0.0,4.58,4.55,0.0
20150109:0011,0.0,0.0,4.33,4.41,0.0
20150109:0111,0.0,0.0,4.67,4.76,0.0
20150109:0211,0.0,0.0,4.91,5.24,0.0
20150109:0311,0.0,0.0,5.06,5.86,0.0
20150109:0411,0.0,0.0,5.25,6.14,0.0
20150109:0511,0.0,0.0,5.7,6.76,0.0
20150109:0611,0.0,0.0,6.2,7.79,0.0
20150109:0711,0.0,0.0,6.92,8.83,0.0
20150109:0811,20.5,3.19,7.21,8.97,0.0
20150109:0911,28.74,9.11,7.53,8.9,0.0
20150109:1011,30.59,13.29,8.11,8.55,0.0
20150109:1111,43.57,15.39,8.86,8.14,0.0
20150109:1211,103.87,15.23,9.58,7.93,0.0
20150109:1311,130.77,12.81,9.97,7.66,0.0
20150109:1411,31.52,8.35,10.16,7.45,0.0
20150109:1511,4.64,2.22,9.94,6.83,0.0
20150109:1611,0.0,0.0,9.73,6.21,0.0
20150109:1711,0.0,0.0,9.43,5.72,0.0
20150109:1811,0.0,0.0,8.42,5.45,0.0
20150109:1911,0.0,0.0,7.36,5.17,0.0
20150109:2011,0.0,0.0,7.66,4.62,0.0
20150109:2111,0.0,0.0,8.03,4.9,0.0
20150109:2211,0.0,0.0,8.77,5.72,0.0
20150109:2311,0.0,0.0,10.52,7.1,0.0
20150110:0011,0.0,0.0,11.63,7.93,0.0
20150110:0111,0.0,0.0,11.83,7.93,0.0
20150110:0211,0.0,0.0,11.83,7.59,0.0
20150110:0311,0.0,0.0,11.78,7.31,0.0
20150110:0411,0.0,0.0,11.62,6.97,0.0
20150110:0511,0.0,0.0,11.29,6.9,0.0
20150110:0611,0.0,0.0,11.01,7.03,0.0
20150110:0711,0.0,0.0,11.27,7.79,0.0
20150110:0811,9.27,3.27,10.87,8.28,0.0
20150110:0911,46.09,9.21,10.64,8.55,0.0
20150110:1011,56.55,13.41,10.54,8.9,0.0
20150110:1111,61.19,15.53,10.69,9.1,0.0
20150110:1211,33.38,15.38,10.86,9.24,0.0
20150110:1311,84.43,12.97,10.94,9.1,0.0
20150110:1411,12.05,8.52,10.05,8.97,0.0
20150110:1511,19.79,2.39,7.82,7.24,0.0
20150110:1611,0.0,0.0,7.29,7.1,0.0
20150110:1711,0.0,0.0,6.46,7.1,0.0
20150110:1811,0.0,0.0,5.82,6.9,0.0
20150110:1911,0.0,0.0,5.54,6.48,0.0
20150110:2011,0.0,0.0,5.11,6.28,0.0
20150110:2111,0.0,0.0,4.76,6.07,0.0
20150110:2211,0.0,0.0,4.44,5.93,0.0
20150110:2311,0.0,0.0,4.18,5.86,0.0
20150111:0011,0.0,0.0,3.84,5.59,0.0
20150111:0111,0.0,0.0,3.58,5.38,0.0
20150111:0211,0.0,0.0,3.38,5.31,0.0
20150111:0311,0.0,0.0,3.2,5.38,0.0
20150111:0411,0.0,0.0,3.18,5.59,0.0
20150111:0511,0.0,0.0,2.96,5.72,0.0
20150111:0611,0.0,0.0,2.96,5.93,0.0
20150111:0711,0.0,0.0,2.9,6.28,0.0
20150111:0811,6.49,3.36,2.88,6.21,0.0
20150111:0911,218.36,9.32,3.16,6.76,0.0
20150111:1011,584.21,13.53,3.66,6.48,0.0
20150111:1111,521.17,15.68,3.87,6.48,0.0
20150111:1211,142.36,15.54,4.44,5.38,0.0
20150111:1311,125.1,13.14,4.77,6.83,0.0
20150111:1411,68.74,8.7,4.94,6.48,0.0
20150111:1511,90.67,2.57,4.82,6.21,0.0
20150111:1611,0.0,0.0,4.24,5.93,0.0
20150111:1711,0.0,0.0,4.22,5.93,0.0
20150111:1811,0.0,0.0,4.58,6.21,0.0
20150111:1911,0.0,0.0,4.56,6.62,0.0
20150111:2011,0.0,0.0,4.48,6.48,0.0
20150111:2111,0.0,0.0,4.74,6.48,0.0
20150111:2211,0.0,0.0,4.9,6.07,0.0
20150111:2311,0.0,0.0,4.83,5.59,0.0
20150112:0011,0.0,0.0,4.88,5.45,0.0
20150112:0111,0.0,0.0,4.9,5.31,0.0
20150112:0211,0.0,0.0,5.6,5.45,0.0
20150112:0311,0.0,0.0,5.77,5.52,0.0
20150112:0411,0.0,0.0,5.92,5.66,0.0
20150112:0511,0.0,0.0,6.08,6.0,0.0
20150112:0611,0.0,0.0,6.26,6.07,0.0
20150112:0711,0.0,0.0,6.41,6.34,0.0
20150112:0811,11.13,3.46,6.46,6.55,0.0
20150112:0911,84.3,9.43,6.45,7.1,0.0
20150112:1011,38.01,13.67,6.55,7.38,0.0
20150112:1111,28.74,15.83,6.73,7.45,0.0
20150112:1211,25.96,15.71,6.98,7.38,0.0
20150112:1311,25.03,13.32,7.31,7.24,0.0
20150112:1411,27.81,8.88,7.75,7.31,0.0
20150112:1511,19.49,2.75,8.1,7.17,0.0
20150112:1611,0.0,0.0,8.35,6.9,0.0
20150112:1711,0.0,0.0,8.53,6.83,0.0
20150112:1811,0.0,0.0,8.59,6.69,0.0
20150112:1911,0.0,0.0,8.41,6.97,0.0
20150112:2011,0.0,0.0,8.63,6.76,0.0
20150112:2111,0.0,0.0,8.65,6.41,0.0
20150112:2211,0.0,0.0,8.35,6.34,0.0
20150112:2311,0.0,0.0,8.46,6.69,0.0
20150113:0011,0.0,0.0,8.59,6.9,0.0
20150113:0111,0.0,0.0,8.59,6.69,0.0
20150113:0211,0.0,0.0,8.66,6.55,0.0
20150113:0311,0.0,0.0,8.81,6.55,0.0
20150113:0411,0.0,0.0,9.04,6.83,0.0
20150113:0511,0.0,0.0,9.08,7.1,0.0
20150113:0611,0.0,0.0,9.02,7.31,0.0
20150113:0711,0.0,0.0,9.2,7.17,0.0
20150113:0811,3.71,3.57,9.23,7.03,0.0
20150113:0911,32.45,9.55,9.28,6.9,0.0
20150113:1011,37.08,13.81,9.24,6.69,0.0
20150113:1111,25.03,15.99,9.39,6.83,0.0
20150113:1211,43.57,15.88,9.36,7.24,0.0
20150113:1311,28.74,13.5,9.23,7.03,0.0
20150113:1411,55.21,9.07,9.07,6.34,0.0
20150113:1511,1.85,2.94,8.74,4.97,0.0
20150113:1611,0.0,0.0,8.04,3.72,0.0
20150113:1711,0.0,0.0,7.41,3.17,0.0
20150113:1811,0.0,0.0,6.93,3.93,0.0
20150113:1911,0.0,0.0,7.19,4.69,0.0
20150113:2011,0.0,0.0,7.28,5.52,0.0
20150113:2111,0.0,0.0,6.75,5.38,0.0
20150113:2211,0.0,0.0,6.25,5.1,0.0
20150113:2311,0.0,0.0,5.72,4.55,0.0
20150114:0011,0.0,0.0,5.43,4.07,0.0
20150114:0111,0.0,0.0,5.14,4.0,0.0
20150114:0211,0.0,0.0,5.08,4.48,0.0
20150114:0311,0.0,0.0,5.26,5.03,0.0
20150114:0411,0.0,0.0,4.73,6.14,0.0
20150114:0511,0.0,0.0,4.43,5.45,0.0
20150114:0611,0.0,0.0,4.02,5.24,0.0
20150114:0711,0.0,0.0,3.5,5.31,0.0
20150114:0811,6.49,3.68,3.45,5.24,0.0
20150114:0911,91.92,9.68,3.88,5.24,0.0
20150114:1011,52.85,13.96,4.24,5.17,0.0
20150114:1111,68.61,16.15,4.59,4.69,0.0
20150114:1211,167.23,16.06,4.48,5.03,0.0
20150114:1311,145.39,13.69,4.13,5.52,0.0
20150114:1411,148.72,9.26,3.93,5.45,0.0
20150114:1511,19.43,3.13,3.43,5.24,0.0
20150114:1611,0.0,0.0,3.11,4.41,0.0
20150114:1711,0.0,0.0,2.71,4.0,0.0
20150114:1811,0.0,0.0,2.52,3.93,0.0
20150114:1911,0.0,0.0,2.22,4.0,0.0
20150114:2011,0.0,0.0,1.9,4.14,0.0
20150114:2111,0.0,0.0,1.74,4.07,0.0
20150114:2211,0.0,0.0,1.68,4.21,0.0
20150114:2311,0.0,0.0,1.97,4.41,0.0
20150115:0011,0.0,0.0,2.49,4.76,0.0
20150115:0111,0.0,0.0,2.92,5.1,0.0
20150115:0211,0.0,0.0,3.51,5.59,0.0
20150115:0311,0.0,0.0,4.32,6.0,0.0
20150115:0411,0.0,0.0,5.01,6.28,0.0
20150115:0511,0.0,0.0,5.46,6.55,0.0
20150115:0611,0.0,0.0,6.04,6.97,0.0
20150115:0711,0.0,0.0,7.17,7.24,0.0
20150115:0811,12.98,3.8,7.58,7.59,0.0
20150115:0911,106.51,9.82,7.87,7.59,0.0
20150115:1011,73.91,14.12,8.18,7.59,0.0
20150115:1111,121.05,16.33,8.51,7.59,0.0
20150115:1211,84.82,16.25,8.44,7.45,0.0
20150115:1311,96.79,13.88,8.38,7.38,0.0
20150115:1411,71.18,9.46,8.42,7.17,0.0
20150115:1511,21.87,3.33,8.4,7.03,0.0
