time,Global_Irradiance_W_per_m2,Sun_Hours,Temperature_2m_C,WindSpeed_10m_m_s,Irradiance_Index,PV_Energy_Wh
2015-01-01 00:11:00,0.0,0.0,1.59,2.83,0.0,0.0
2015-01-01 01:11:00,0.0,0.0,1.14,2.76,0.0,0.0
2015-01-01 02:11:00,0.0,0.0,0.69,2.83,0.0,0.0
2015-01-01 03:11:00,0.0,0.0,0.31,2.97,0.0,0.0
2015-01-01 04:11:00,0.0,0.0,-0.06,3.1,0.0,0.0
2015-01-01 05:11:00,0.0,0.0,-0.26,3.24,0.0,0.0
2015-01-01 06:11:00,0.0,0.0,-0.26,3.24,0.0,0.0
2015-01-01 07:11:00,0.0,0.0,0.19,3.59,0.0,0.0
2015-01-01 08:11:00,53.35,2.78,0.2,3.72,0.0,9.603
2015-01-01 09:11:00,88.36,8.56,0.73,3.72,0.0,15.9048
2015-01-01 10:11:00,550.84,12.59,1.54,3.31,0.0,99.1512
2015-01-01 11:11:00,280.02,14.55,2.2,4.9,0.0,50.4036
2015-01-01 12:11:00,560.23,14.26,2.72,4.21,0.0,100.8414
2015-01-01 13:11:00,404.55,11.74,2.92,3.59,0.0,72.819
2015-01-01 14:11:00,101.78,7.22,3.02,4.14,0.0,18.3204
2015-01-01 15:11:00,0.0,0.0,2.84,4.21,0.0,0.0
2015-01-01 16:11:00,0.0,0.0,2.63,4.41,0.0,0.0
2015-01-01 17:11:00,0.0,0.0,2.7,4.62,0.0,0.0
2015-01-01 18:11:00,0.0,0.0,2.85,4.9,0.0,0.0
2015-01-01 19:11:00,0.0,0.0,2.95,5.38,0.0,0.0
2015-01-01 20:11:00,0.0,0.0,3.07,5.72,0.0,0.0
2015-01-01 21:11:00,0.0,0.0,3.19,6.07,0.0,0.0
2015-01-01 22:11:00,0.0,0.0,3.3,6.14,0.0,0.0
2015-01-01 23:11:00,0.0,0.0,3.53,6.21,0.0,0.0
2015-01-02 00:11:00,0.0,0.0,3.74,6.21,0.0,0.0
2015-01-02 01:11:00,0.0,0.0,3.69,6.41,0.0,0.0
2015-01-02 02:11:00,0.0,0.0,3.39,6.55,0.0,0.0
2015-01-02 03:11:00,0.0,0.0,3.98,6.69,0.0,0.0
2015-01-02 04:11:00,0.0,0.0,4.74,6.69,0.0,0.0
2015-01-02 05:11:00,0.0,0.0,4.78,6.69,0.0,0.0
2015-01-02 06:11:00,0.0,0.0,5.4,6.62,0.0,0.0
2015-01-02 07:11:00,0.0,0.0,6.05,6.62,0.0,0.0
2015-01-02 08:11:00,22.68,2.8,6.9,6.55,0.0,4.0824
2015-01-02 09:11:00,99.03,8.6,7.78,6.0,0.0,17.8254
2015-01-02 10:11:00,113.17,12.65,8.45,5.79,0.0,20.3706
2015-01-02 11:11:00,605.86,14.63,7.92,5.86,0.0,109.0548
2015-01-02 12:11:00,624.6,14.35,7.51,5.72,0.0,112.428
2015-01-02 13:11:00,112.81,11.85,7.53,5.93,0.0,20.3058
2015-01-02 14:11:00,81.32,7.34,7.23,5.93,0.0,14.637599999999999
2015-01-02 15:11:00,0.0,0.0,6.46,5.72,0.0,0.0
2015-01-02 16:11:00,0.0,0.0,5.86,5.79,0.0,0.0
2015-01-02 17:11:00,0.0,0.0,5.42,5.72,0.0,0.0
2015-01-02 18:11:00,0.0,0.0,5.05,5.45,0.0,0.0
2015-01-02 19:11:00,0.0,0.0,5.16,5.38,0.0,0.0
2015-01-02 20:11:00,0.0,0.0,4.94,5.38,0.0,0.0
2015-01-02 21:11:00,0.0,0.0,4.83,5.45,0.0,0.0
2015-01-02 22:11:00,0.0,0.0,4.47,5.31,0.0,0.0
2015-01-02 23:11:00,0.0,0.0,4.39,5.24,0.0,0.0
2015-01-03 00:11:00,0.0,0.0,4.45,4.97,0.0,0.0
2015-01-03 01:11:00,0.0,0.0,4.21,4.48,0.0,0.0
2015-01-03 02:11:00,0.0,0.0,3.94,4.0,0.0,0.0
2015-01-03 03:11:00,0.0,0.0,3.5,3.79,0.0,0.0
2015-01-03 04:11:00,0.0,0.0,3.19,3.86,0.0,0.0
2015-01-03 05:11:00,0.0,0.0,3.07,4.14,0.0,0.0
